问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
NuGet.0005,NuGet 包已弃用,Active,Optional,1,test\KN.SafeCommnunicationPlatform.Protocols.Test\KN.SafeCommnunicationPlatform.Protocols.Test.csproj,File,test\KN.SafeCommnunicationPlatform.Protocols.Test\KN.SafeCommnunicationPlatform.Protocols.Test.csproj,,,xunit 2.4.1,,,,,"xunit, 2.4.1  建议:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,test\KN.SafeCommnunicationPlatform.Protocols.Test\KN.SafeCommnunicationPlatform.Protocols.Test.csproj,File,test\KN.SafeCommnunicationPlatform.Protocols.Test\KN.SafeCommnunicationPlatform.Protocols.Test.csproj,,,,,,,,当前目标框架: net6.0 建议的目标框架: net10.0
NuGet.0001,NuGet 包不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform\KN.SafeCommunicationPlatform.csproj,File,src\KN.SafeCommunicationPlatform\KN.SafeCommunicationPlatform.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.14.0,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.14.0  建议:  找不到受支持的版本"
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,src\KN.SafeCommunicationPlatform\KN.SafeCommunicationPlatform.csproj,File,src\KN.SafeCommunicationPlatform\KN.SafeCommunicationPlatform.csproj,,,,,,,,当前目标框架: net6.0 建议的目标框架: net10.0
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\KN.SafeCommunicationPlatform\KN.SafeCommunicationPlatform.csproj,File,src\KN.SafeCommunicationPlatform\Program.cs,13,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,src\KN.SafeCommunicationPlatform.EF\KN.SafeCommunicationPlatform.EF.csproj,File,src\KN.SafeCommunicationPlatform.EF\KN.SafeCommunicationPlatform.EF.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 6.0.2,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 6.0.2  建议:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.8"
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,src\KN.SafeCommunicationPlatform.EF\KN.SafeCommunicationPlatform.EF.csproj,File,src\KN.SafeCommunicationPlatform.EF\KN.SafeCommunicationPlatform.EF.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.2,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.2  建议:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.8"
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.EF\KN.SafeCommunicationPlatform.EF.csproj,File,src\KN.SafeCommunicationPlatform.EF\KN.SafeCommunicationPlatform.EF.csproj,,,,,,,,当前目标框架: net6.0 建议的目标框架: net10.0
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Native\KN.SafeCommunicationPlatform.Native.csproj,File,src\KN.SafeCommunicationPlatform.Native\KN.SafeCommunicationPlatform.Native.csproj,,,,,,,,当前目标框架: net6.0 建议的目标框架: net10.0
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,src\KN.SafeCommunicationPlatform.Protocols\KN.SafeCommunicationPlatform.Protocols.csproj,File,src\KN.SafeCommunicationPlatform.Protocols\KN.SafeCommunicationPlatform.Protocols.csproj,,,System.IO.Pipelines 6.0.1,,,,,"System.IO.Pipelines, 6.0.1  建议:  Remove System.IO.Pipelines, and replace with new package System.IO.Pipelines 10.0.8"
